"コンテンツID
※空欄で構いません。特定の値を設定したい場合に入力してください。",dummy
"faq-1","【Q】治療で通う回数のしばりとかはありますか？ 
【A】こちらから週に何回通って下さいとかの強制は一切ありません。皆様のペースで通って頂けます。"
"faq-2","【Q】カードで支払いはできますか？ 
【A】申し訳ございません、当院は現在現金のみの取り扱いとなっております。"
"faq-3","【Q】保険は使えますか？ 
【A】当院の施術は保険適用外です。機械は一切使わずに、手のみで皆様の辛い症状に合わせた施術を致します。"
"faq-4","【Q】揉み返しはありますか？ 
【A】当院の施術では揉み返しや揉み癖はありません。揉むのではなく筋肉を揺らしながら緩める、体に優しい施術なのでご安心ください。"
"faq-5","【Q】お着替えはあるのでしょうか？ 
【A】ご用意しております。柔らかい服装でしたら、お着替え無しでそのまま施術を受けて頂けます。"
"faq-6","【Q】個室で施術を受けるのでしょうか？？ 
【A】お客様おひとりのための広さ七坪程のプライベート整体院です。"
